model,gpu,framework,precision,gpu_count,isl,osl,concurrency,rows,output_p50_tok_s_mw,output_p10_tok_s_mw,output_p90_tok_s_mw,input_p50_tok_s_mw,total_p50_tok_s_mw,median_tpot_ms,median_ttft_ms,power_w_p50,kv_pressure_proxy_isl_x_concurrency,decode_work_proxy_osl_x_concurrency,baseline_1024_1024_output_p50_tok_s_mw,realization_vs_same_config_1024_1024
dsr1,b200,sglang,fp4,4,1024,1024,4,23,49522.509715,44351.513424,49639.475688,49592.332791,99105.526534,0.00899,0.25156,2170.0,4096.0,4096.0,49522.509715,1.0
dsr1,b200,sglang,fp4,4,1024,8192,4,20,45163.151648,44807.387107,45340.584902,5660.508697,50823.660344,0.010078,0.277965,2170.0,4096.0,32768.0,49522.509715,0.911972
dsr1,b200,sglang,fp4,4,8192,1024,4,20,33569.821892,21688.59895,33819.100305,268900.188566,302470.010459,0.011621,0.426142,2170.0,32768.0,4096.0,49522.509715,0.67787
dsr1,b200,sglang,fp4,4,1024,1024,64,22,262533.213922,201321.853339,281465.198883,280045.382097,524887.841388,0.02414,0.579721,2170.0,65536.0,65536.0,262533.213922,1.0
dsr1,b200,sglang,fp4,4,1024,8192,64,18,291752.208207,279570.925428,301613.65678,36516.627464,328268.83567,0.024186,0.657003,2170.0,65536.0,524288.0,262533.213922,1.111296
dsr1,b200,sglang,fp4,4,8192,1024,64,20,166549.939105,150283.784381,172593.591957,1330854.987708,1497404.926813,0.039967,1.161377,2170.0,524288.0,65536.0,262533.213922,0.634396
dsr1,b200,sglang,fp4,4,1024,1024,8,23,76301.540465,71709.371871,79175.156196,78597.774331,152039.48884,0.011549,0.313335,2170.0,8192.0,8192.0,76301.540465,1.0
dsr1,b200,sglang,fp4,4,1024,8192,8,19,75623.071082,74118.338086,75747.359395,9487.701314,85110.772396,0.011949,0.268923,2170.0,8192.0,65536.0,76301.540465,0.991108
dsr1,b200,sglang,fp4,4,8192,1024,8,20,52491.134749,40037.909278,55316.222707,417405.318568,469896.453317,0.014733,0.464398,2170.0,65536.0,8192.0,76301.540465,0.687943
dsr1,b200,sglang,fp4,64,1024,1024,128,35,242588.80432,222844.479979,244727.502269,243121.732907,485710.537227,0.021597,0.525917,2170.0,131072.0,131072.0,242588.80432,1.0
