supplier,year,supplier_scope,csp_total_power_mw,ai_contract_power_mw,contract_power_utilization,contract_inference_weight_mw,normalized_supplier_inference_mw,accelerator_power_mw,accelerator_units_estimated,hbm_pb,hbm_24gb_stack_equiv_m,h200_share,b200_share,gb200_share,purpose_built_share
Legacy company envelope - Tencent,2026,legacy_company_envelope,307.0,307.0,1.0,184.2,184.0,184.0,96795.11289878622,15.168018752830239,0.6320007813679266,0.55,0.39999999999999997,0.049999999999999996,0.0
Legacy company envelope - Tencent,2027,legacy_company_envelope,640.0,640.0,1.0,416.0,416.0,416.0,214172.6816014491,34.65031492608082,1.4437631219200342,0.438,0.38799999999999996,0.174,0.0
Legacy company envelope - Tencent,2028,legacy_company_envelope,973.0,973.0,1.0,681.1,681.0,681.0,342903.57209450996,57.31694974827522,2.3882062395114674,0.32499999999999996,0.375,0.30000000000000004,0.0
Legacy company envelope - Tencent,2029,legacy_company_envelope,1306.0,1306.0,1.0,979.5,980.0,980.0,482476.16383864754,83.33001006899123,3.472083752874635,0.21300000000000002,0.362,0.425,0.0
Legacy company envelope - Tencent,2030,legacy_company_envelope,1639.0,1639.0,1.0,1311.2,1311.0,1311.0,630589.102581178,112.61074779574332,4.692114491489305,0.09999999999999999,0.35000000000000003,0.5499999999999999,0.0
Meta,2026,epoch_supplier,2222.0,2222.0,1.0,1288.76,673.0,673.0,317712.9858021896,55.731405652486615,2.3221419021869423,0.0960297176820208,0.9039702823179792,0.0,0.0
Meta,2027,epoch_supplier,2647.0,2647.0,1.0,1667.61,1210.0,1210.0,570673.5888761621,100.20736911909647,4.175307046629019,0.09215950413223141,0.9078404958677687,0.0,0.0
Meta,2028,epoch_supplier,4323.0,4323.0,1.0,2939.64,1824.0,1824.0,856569.3188780267,168.0844103673317,7.003517098638822,0.0749188596491228,0.7380071271929824,0.0,0.18707401315789474
Meta,2029,epoch_supplier,4323.0,4323.0,1.0,3155.79,2514.0,2513.999,1180600.0133187715,231.66888713140298,9.652870297141792,0.0749188842159444,0.7380070556909529,0.0,0.18707406009310268
Meta,2030,epoch_supplier,4323.0,4323.0,1.0,3371.94,3280.0,3280.0,1540322.0372392852,302.2570653152553,12.59404438813564,0.0749189024390244,0.738007012195122,0.0,0.18707408536585365
Microsoft,2026,epoch_supplier,1519.0,1397.0,0.9196840026333114,792.155,880.857,880.857,424792.576116779,72.83363479928613,3.0347347833035885,0.1827538408617971,0.8172461591382029,0.0,0.0
Microsoft,2027,epoch_supplier,2191.0,2069.0,0.9443176631675034,1265.205,1471.6930000000002,1471.6930000000002,703695.0667270451,121.76127906289123,5.073386627620469,0.1478086802070812,0.8521913197929186,0.0,0.0
Microsoft,2028,epoch_supplier,4085.0,3963.0,0.9701346389228886,2628.165,2096.828,2096.828,980469.5133320903,173.75532396046992,7.23980516501958,0.05773673377120107,0.942263266228799,0.0,0.0
Microsoft,2029,epoch_supplier,4085.0,3963.0,0.9701346389228886,2826.315,2893.273,2893.2729999999997,1352884.53957007,239.7533726139421,9.989723858914255,0.05773703345657324,0.9422629665434268,0.0,0.0
Microsoft,2030,epoch_supplier,4085.0,3963.0,0.9701346389228886,3024.465,3796.1330000000003,3796.1330000000003,1775058.7277909485,314.5695866093072,13.107066108721133,0.05773691280047353,0.9422630871995265,0.0,0.0
Nscale,2026,epoch_supplier,33.0,33.0,1.0,18.15,36.811,36.811,16963.594470046082,3.053447004608295,0.12722695852534563,0.0,1.0,0.0,0.0
